"Snowflake Function","Postgresql Function","Replica Emulation","Notes"
`LN <https://docs.snowflake.net/manuals/sql-reference/functions/ln.html>`__,`LN <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`LOCALTIME <https://docs.snowflake.net/manuals/sql-reference/functions/localtime.html>`__,`LOCALTIME <https://www.postgresql.org/docs/12/functions-datetime.html>`__,not supported,""
`LOCALTIMESTAMP <https://docs.snowflake.net/manuals/sql-reference/functions/localtimestamp.html>`__,`LOCALTIMESTAMP <https://www.postgresql.org/docs/12/functions-datetime.html>`__,not supported,""
`LOG <https://docs.snowflake.net/manuals/sql-reference/functions/log.html>`__,`LOG <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`LOGIN_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/login_history.html>`__,not supported,not supported,""
`LOGIN_HISTORY_BY_USER <https://docs.snowflake.net/manuals/sql-reference/functions/login_history.html>`__,not supported,not supported,""
`LOWER <https://docs.snowflake.net/manuals/sql-reference/functions/lower.html>`__,`LOWER <https://www.postgresql.org/docs/12/functions-range.html>`__,not supported,""
`LPAD <https://docs.snowflake.net/manuals/sql-reference/functions/lpad.html>`__,`LPAD <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`LTRIM <https://docs.snowflake.net/manuals/sql-reference/functions/ltrim.html>`__,`LTRIM <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`MATERIALIZED VIEWS <https://docs.snowflake.net/manuals/sql-reference/../user-guide/views-materialized.html>`__,not supported,not supported,""
`MATERIALIZED_VIEW_REFRESH_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/materialized_view_refresh_history.html>`__,not supported,not supported,""
`MD5 <https://docs.snowflake.net/manuals/sql-reference/functions/md5.html>`__,`MD5 <https://www.postgresql.org/docs/12/functions-binarystring.html>`__,not supported,""
`MD5_BINARY <https://docs.snowflake.net/manuals/sql-reference/functions/md5_binary.html>`__,not supported,not supported,""
`MD5_HEX <https://docs.snowflake.net/manuals/sql-reference/functions/md5.html>`__,not supported,not supported,""
`MD5_NUMBER Â DEPRECATED <https://docs.snowflake.net/manuals/sql-reference/functions/md5_number.html>`__,not supported,not supported,""
`MEDIAN <https://docs.snowflake.net/manuals/sql-reference/functions/median.html>`__,not supported,not supported,""
`MIN / MAX <https://docs.snowflake.net/manuals/sql-reference/functions/min.html>`__,not supported,not supported,""
`MINHASH <https://docs.snowflake.net/manuals/sql-reference/functions/minhash.html>`__,not supported,not supported,""
`MINHASH_COMBINE <https://docs.snowflake.net/manuals/sql-reference/functions/minhash_combine.html>`__,not supported,not supported,""
`MOD <https://docs.snowflake.net/manuals/sql-reference/functions/mod.html>`__,`MOD <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`MODE <https://docs.snowflake.net/manuals/sql-reference/functions/mode.html>`__,`MODE <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`MONTHNAME <https://docs.snowflake.net/manuals/sql-reference/functions/monthname.html>`__,not supported,not supported,""
`NEXT_DAY <https://docs.snowflake.net/manuals/sql-reference/functions/next_day.html>`__,not supported,not supported,""
`NORMAL <https://docs.snowflake.net/manuals/sql-reference/functions/normal.html>`__,not supported,not supported,""
`NTH_VALUE <https://docs.snowflake.net/manuals/sql-reference/functions/nth_value.html>`__,`NTH_VALUE <https://www.postgresql.org/docs/12/functions-window.html>`__,not supported,""
`NTILE <https://docs.snowflake.net/manuals/sql-reference/functions/ntile.html>`__,`NTILE <https://www.postgresql.org/docs/12/functions-window.html>`__,not supported,""
`NULLIF <https://docs.snowflake.net/manuals/sql-reference/functions/nullif.html>`__,not supported,not supported,""
`NVL <https://docs.snowflake.net/manuals/sql-reference/functions/nvl.html>`__,not supported,not supported,""
`NVL2 <https://docs.snowflake.net/manuals/sql-reference/functions/nvl2.html>`__,not supported,not supported,""
`OBJECT_AGG <https://docs.snowflake.net/manuals/sql-reference/functions/object_agg.html>`__,not supported,not supported,""
`OBJECT_CONSTRUCT <https://docs.snowflake.net/manuals/sql-reference/functions/object_construct.html>`__,not supported,not supported,""
`OBJECT_DELETE <https://docs.snowflake.net/manuals/sql-reference/functions/object_delete.html>`__,not supported,not supported,""
`OBJECT_INSERT <https://docs.snowflake.net/manuals/sql-reference/functions/object_insert.html>`__,not supported,not supported,""
`OCTET_LENGTH <https://docs.snowflake.net/manuals/sql-reference/functions/octet_length.html>`__,`OCTET_LENGTH <https://www.postgresql.org/docs/12/functions-binarystring.html>`__,not supported,""
`PARSE_IP <https://docs.snowflake.net/manuals/sql-reference/functions/parse_ip.html>`__,not supported,not supported,""
`PARSE_JSON <https://docs.snowflake.net/manuals/sql-reference/functions/parse_json.html>`__,not supported,not supported,""
`PARSE_URL <https://docs.snowflake.net/manuals/sql-reference/functions/parse_url.html>`__,not supported,not supported,""
`PARSE_XML <https://docs.snowflake.net/manuals/sql-reference/functions/parse_xml.html>`__,not supported,not supported,""
`PERCENTILE_CONT <https://docs.snowflake.net/manuals/sql-reference/functions/percentile_cont.html>`__,`PERCENTILE_CONT <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`PERCENTILE_DISC <https://docs.snowflake.net/manuals/sql-reference/functions/percentile_disc.html>`__,`PERCENTILE_DISC <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`PERCENT_RANK <https://docs.snowflake.net/manuals/sql-reference/functions/percent_rank.html>`__,`PERCENT_RANK <https://www.postgresql.org/docs/12/functions-window.html>`__,not supported,""
`PI <https://docs.snowflake.net/manuals/sql-reference/functions/pi.html>`__,`PI <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`PIPE_USAGE_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/pipe_usage_history.html>`__,not supported,not supported,""
`POSITION <https://docs.snowflake.net/manuals/sql-reference/functions/position.html>`__,`POSITION <https://www.postgresql.org/docs/12/functions-binarystring.html>`__,not supported,""
`POW <https://docs.snowflake.net/manuals/sql-reference/functions/pow.html>`__,not supported,not supported,""
`POWER <https://docs.snowflake.net/manuals/sql-reference/functions/pow.html>`__,`POWER <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`PREVIOUS_DAY <https://docs.snowflake.net/manuals/sql-reference/functions/previous_day.html>`__,not supported,not supported,""
`QUERY_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/query_history.html>`__,not supported,not supported,""
`QUERY_HISTORY_BY_* <https://docs.snowflake.net/manuals/sql-reference/functions/query_history.html>`__,not supported,not supported,""
`RADIANS <https://docs.snowflake.net/manuals/sql-reference/functions/radians.html>`__,`RADIANS <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`RANDOM <https://docs.snowflake.net/manuals/sql-reference/functions/random.html>`__,`RANDOM <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`RANDSTR <https://docs.snowflake.net/manuals/sql-reference/functions/randstr.html>`__,not supported,not supported,""
`RANK <https://docs.snowflake.net/manuals/sql-reference/functions/rank.html>`__,`RANK <https://www.postgresql.org/docs/12/functions-window.html>`__,not supported,""
`RATIO_TO_REPORT <https://docs.snowflake.net/manuals/sql-reference/functions/ratio_to_report.html>`__,not supported,not supported,""
`REGEXP <https://docs.snowflake.net/manuals/sql-reference/functions/regexp.html>`__,not supported,not supported,""
`REGEXP_COUNT <https://docs.snowflake.net/manuals/sql-reference/functions/regexp_count.html>`__,not supported,not supported,""
`REGEXP_INSTR <https://docs.snowflake.net/manuals/sql-reference/functions/regexp_instr.html>`__,not supported,not supported,""
`REGEXP_LIKE <https://docs.snowflake.net/manuals/sql-reference/functions/regexp_like.html>`__,not supported,not supported,""
`REGEXP_REPLACE <https://docs.snowflake.net/manuals/sql-reference/functions/regexp_replace.html>`__,`REGEXP_REPLACE <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`REGEXP_SUBSTR <https://docs.snowflake.net/manuals/sql-reference/functions/regexp_substr.html>`__,not supported,not supported,""
`REGR_AVGX <https://docs.snowflake.net/manuals/sql-reference/functions/regr_avgx.html>`__,`REGR_AVGX <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`REGR_AVGY <https://docs.snowflake.net/manuals/sql-reference/functions/regr_avgy.html>`__,`REGR_AVGY <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`REGR_COUNT <https://docs.snowflake.net/manuals/sql-reference/functions/regr_count.html>`__,`REGR_COUNT <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`REGR_INTERCEPT <https://docs.snowflake.net/manuals/sql-reference/functions/regr_intercept.html>`__,`REGR_INTERCEPT <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`REGR_R2 <https://docs.snowflake.net/manuals/sql-reference/functions/regr_r2.html>`__,`REGR_R2 <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`REGR_SLOPE <https://docs.snowflake.net/manuals/sql-reference/functions/regr_slope.html>`__,`REGR_SLOPE <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`REGR_SXX <https://docs.snowflake.net/manuals/sql-reference/functions/regr_sxx.html>`__,`REGR_SXX <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`REGR_SXY <https://docs.snowflake.net/manuals/sql-reference/functions/regr_sxy.html>`__,`REGR_SXY <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`REGR_SYY <https://docs.snowflake.net/manuals/sql-reference/functions/regr_syy.html>`__,`REGR_SYY <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`REGR_VALX <https://docs.snowflake.net/manuals/sql-reference/functions/regr_valx.html>`__,not supported,not supported,""
`REGR_VALY <https://docs.snowflake.net/manuals/sql-reference/functions/regr_valy.html>`__,not supported,not supported,""
`REPEAT <https://docs.snowflake.net/manuals/sql-reference/functions/repeat.html>`__,`REPEAT <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`REPLACE <https://docs.snowflake.net/manuals/sql-reference/functions/replace.html>`__,`REPLACE <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`REPLICATION_USAGE_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/replication_usage_history.html>`__,not supported,not supported,""
`RESULT_SCAN <https://docs.snowflake.net/manuals/sql-reference/functions/result_scan.html>`__,not supported,not supported,""
`REVERSE <https://docs.snowflake.net/manuals/sql-reference/functions/reverse.html>`__,`REVERSE <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`RIGHT <https://docs.snowflake.net/manuals/sql-reference/functions/right.html>`__,`RIGHT <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`RLIKE <https://docs.snowflake.net/manuals/sql-reference/functions/rlike.html>`__,not supported,`RLIKE <https://bitbucket.org/healthunion/snowshu/src/master/snowshu/adapters/target_adapters/functions/RLIKE.sql>`__," supports only 1st syntax ie RLIKE(subject,pattern,args). 
Only supports the 'i' (case insensitive) flag at this time.
"
`ROUND <https://docs.snowflake.net/manuals/sql-reference/functions/round.html>`__,`ROUND <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`ROW_NUMBER <https://docs.snowflake.net/manuals/sql-reference/functions/row_number.html>`__,`ROW_NUMBER <https://www.postgresql.org/docs/12/functions-window.html>`__,not supported,""
`RPAD <https://docs.snowflake.net/manuals/sql-reference/functions/rpad.html>`__,`RPAD <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`RTRIM <https://docs.snowflake.net/manuals/sql-reference/functions/rtrim.html>`__,`RTRIM <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`RTRIMMED_LENGTH <https://docs.snowflake.net/manuals/sql-reference/functions/rtrimmed_length.html>`__,not supported,not supported,""
`SEQ1 / SEQ2 / SEQ4 / SEQ8 <https://docs.snowflake.net/manuals/sql-reference/functions/seq1.html>`__,not supported,not supported,""
`SHA1 <https://docs.snowflake.net/manuals/sql-reference/functions/sha1.html>`__,not supported,not supported,""
`SHA1_BINARY <https://docs.snowflake.net/manuals/sql-reference/functions/sha1_binary.html>`__,not supported,not supported,""
`SHA1_HEX <https://docs.snowflake.net/manuals/sql-reference/functions/sha1.html>`__,not supported,not supported,""
`SHA2 <https://docs.snowflake.net/manuals/sql-reference/functions/sha2.html>`__,not supported,not supported,""
`SHA2_BINARY <https://docs.snowflake.net/manuals/sql-reference/functions/sha2_binary.html>`__,not supported,not supported,""
`SHA2_HEX <https://docs.snowflake.net/manuals/sql-reference/functions/sha2.html>`__,not supported,not supported,""
`SIGN <https://docs.snowflake.net/manuals/sql-reference/functions/sign.html>`__,`SIGN <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`SIN <https://docs.snowflake.net/manuals/sql-reference/functions/sin.html>`__,`SIN <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`SINH <https://docs.snowflake.net/manuals/sql-reference/functions/sinh.html>`__,`SINH <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`SKEW <https://docs.snowflake.net/manuals/sql-reference/functions/skew.html>`__,not supported,not supported,""
`SNOWPIPE <https://docs.snowflake.net/manuals/sql-reference/../user-guide/data-load-snowpipe.html>`__,not supported,not supported,""
`SOUNDEX <https://docs.snowflake.net/manuals/sql-reference/functions/soundex.html>`__,not supported,not supported,""
`SPACE <https://docs.snowflake.net/manuals/sql-reference/functions/space.html>`__,not supported,not supported,""
`SPLIT <https://docs.snowflake.net/manuals/sql-reference/functions/split.html>`__,not supported,not supported,""
`SPLIT_PART <https://docs.snowflake.net/manuals/sql-reference/functions/split_part.html>`__,`SPLIT_PART <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`SPLIT_TO_TABLE <https://docs.snowflake.net/manuals/sql-reference/functions/split_to_table.html>`__,not supported,not supported,""
`SQRT <https://docs.snowflake.net/manuals/sql-reference/functions/sqrt.html>`__,`SQRT <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`SQUARE <https://docs.snowflake.net/manuals/sql-reference/functions/square.html>`__,not supported,not supported,""
`STAGE_STORAGE_USAGE_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/stage_storage_usage_history.html>`__,not supported,not supported,""
`STARTSWITH <https://docs.snowflake.net/manuals/sql-reference/functions/startswith.html>`__,not supported,not supported,""
`STDDEV <https://docs.snowflake.net/manuals/sql-reference/functions/stddev.html>`__,`STDDEV <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`STDDEV_POP <https://docs.snowflake.net/manuals/sql-reference/functions/stddev_pop.html>`__,`STDDEV_POP <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`STDDEV_SAMP <https://docs.snowflake.net/manuals/sql-reference/functions/stddev_samp.html>`__,`STDDEV_SAMP <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`STRIP_NULL_VALUE <https://docs.snowflake.net/manuals/sql-reference/functions/strip_null_value.html>`__,not supported,not supported,""
`STRTOK <https://docs.snowflake.net/manuals/sql-reference/functions/strtok.html>`__,not supported,not supported,""
`STRTOK_SPLIT_TO_TABLE <https://docs.snowflake.net/manuals/sql-reference/functions/strtok_split_to_table.html>`__,not supported,not supported,""
`STRTOK_TO_ARRAY <https://docs.snowflake.net/manuals/sql-reference/functions/strtok_to_array.html>`__,not supported,not supported,""
`SUBSTR <https://docs.snowflake.net/manuals/sql-reference/functions/substr.html>`__,`SUBSTR <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`SUBSTRING <https://docs.snowflake.net/manuals/sql-reference/functions/substr.html>`__,`SUBSTRING <https://www.postgresql.org/docs/12/functions-binarystring.html>`__,not supported,""
`SUM <https://docs.snowflake.net/manuals/sql-reference/functions/sum.html>`__,`SUM <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`SYSTEM$ABORT_SESSION <https://docs.snowflake.net/manuals/sql-reference/functions/system_abort_session.html>`__,not supported,not supported,""
`SYSTEM$ABORT_TRANSACTION <https://docs.snowflake.net/manuals/sql-reference/functions/system_abort_transaction.html>`__,not supported,not supported,""
`SYSTEM$CANCEL_ALL_QUERIES <https://docs.snowflake.net/manuals/sql-reference/functions/system_cancel_all_queries.html>`__,not supported,not supported,""
`SYSTEM$CANCEL_QUERY <https://docs.snowflake.net/manuals/sql-reference/functions/system_cancel_query.html>`__,not supported,not supported,""
`SYSTEM$CLUSTERING_DEPTH <https://docs.snowflake.net/manuals/sql-reference/functions/system_clustering_depth.html>`__,not supported,not supported,""
`SYSTEM$CLUSTERING_INFORMATION <https://docs.snowflake.net/manuals/sql-reference/functions/system_clustering_information.html>`__,not supported,not supported,""
`SYSTEM$CLUSTERING_RATIO Â DEPRECATED <https://docs.snowflake.net/manuals/sql-reference/functions/system_clustering_ratio.html>`__,not supported,not supported,""
`SYSTEM$CURRENT_USER_TASK_NAME <https://docs.snowflake.net/manuals/sql-reference/functions/system_current_user_task_name.html>`__,not supported,not supported,""
`SYSTEM$DATABASE_REFRESH_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/system_database_refresh_history.html>`__,not supported,not supported,""
`SYSTEM$DATABASE_REFRESH_PROGRESS <https://docs.snowflake.net/manuals/sql-reference/functions/system_database_refresh_progress.html>`__,not supported,not supported,""
`SYSTEM$DATABASE_REFRESH_PROGRESS_BY_JOB <https://docs.snowflake.net/manuals/sql-reference/functions/system_database_refresh_progress.html>`__,not supported,not supported,""
`SYSTEM$EXPLAIN_JSON_TO_TEXT <https://docs.snowflake.net/manuals/sql-reference/functions/system_explain_json_to_text.html>`__,not supported,not supported,""
`SYSTEM$EXPLAIN_PLAN_JSON <https://docs.snowflake.net/manuals/sql-reference/functions/system_explain_plan_json.html>`__,not supported,not supported,""
`SYSTEM$GET_AWS_SNS_IAM_POLICY <https://docs.snowflake.net/manuals/sql-reference/functions/system_get_aws_sns_iam_policy.html>`__,not supported,not supported,""
`SYSTEM$GET_PREDECESSOR_RETURN_VALUE <https://docs.snowflake.net/manuals/sql-reference/functions/system_get_predecessor_return_value.html>`__,not supported,not supported,""
`SYSTEM$LAST_CHANGE_COMMIT_TIME <https://docs.snowflake.net/manuals/sql-reference/functions/system_last_change_commit_time.html>`__,not supported,not supported,""
`SYSTEM$PIPE_FORCE_RESUME <https://docs.snowflake.net/manuals/sql-reference/functions/system_pipe_force_resume.html>`__,not supported,not supported,""
`SYSTEM$PIPE_STATUS <https://docs.snowflake.net/manuals/sql-reference/functions/system_pipe_status.html>`__,not supported,not supported,""
`SYSTEM$SET_RETURN_VALUE <https://docs.snowflake.net/manuals/sql-reference/functions/system_set_return_value.html>`__,not supported,not supported,""
`SYSTEM$SHOW_OAUTH_CLIENT_SECRETS <https://docs.snowflake.net/manuals/sql-reference/functions/system_show_oauth_client_secrets.html>`__,not supported,not supported,""
`SYSTEM$STREAM_GET_TABLE_TIMESTAMP <https://docs.snowflake.net/manuals/sql-reference/functions/system_stream_get_table_timestamp.html>`__,not supported,not supported,""
`SYSTEM$STREAM_HAS_DATA <https://docs.snowflake.net/manuals/sql-reference/functions/system_stream_has_data.html>`__,not supported,not supported,""
`SYSTEM$TASK_DEPENDENTS_ENABLE <https://docs.snowflake.net/manuals/sql-reference/functions/system_task_dependents_enable.html>`__,not supported,not supported,""
`SYSTEM$TYPEOF <https://docs.snowflake.net/manuals/sql-reference/functions/system_typeof.html>`__,not supported,not supported,""
`SYSTEM$USER_TASK_CANCEL_ONGOING_EXECUTIONS <https://docs.snowflake.net/manuals/sql-reference/functions/system_user_task_cancel_ongoing_executions.html>`__,not supported,not supported,""
`SYSTEM$VERIFY_EXTERNAL_OAUTH_TOKEN <https://docs.snowflake.net/manuals/sql-reference/functions/system_verify_ext_oauth_token.html>`__,not supported,not supported,""
`SYSTEM$WAIT <https://docs.snowflake.net/manuals/sql-reference/functions/system_wait.html>`__,not supported,not supported,""
`SYSTEM$WHITELIST <https://docs.snowflake.net/manuals/sql-reference/functions/system_whitelist.html>`__,not supported,not supported,""
`SYSTEM$WHITELIST_PRIVATELINK <https://docs.snowflake.net/manuals/sql-reference/functions/system_whitelist_privatelink.html>`__,not supported,not supported,""
`TAN <https://docs.snowflake.net/manuals/sql-reference/functions/tan.html>`__,`TAN <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`TANH <https://docs.snowflake.net/manuals/sql-reference/functions/tanh.html>`__,`TANH <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`TASK <https://docs.snowflake.net/manuals/sql-reference/../user-guide/tasks.html>`__,not supported,not supported,""
`TASKS <https://docs.snowflake.net/manuals/sql-reference/../user-guide/tasks.html>`__,not supported,not supported,""
`TASK_DEPENDENTS <https://docs.snowflake.net/manuals/sql-reference/functions/task_dependents.html>`__,not supported,not supported,""
`TASK_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/task_history.html>`__,not supported,not supported,""
`TIMEADD <https://docs.snowflake.net/manuals/sql-reference/functions/timeadd.html>`__,not supported,not supported,""
`TIMEDIFF <https://docs.snowflake.net/manuals/sql-reference/functions/timediff.html>`__,not supported,not supported,""
`TIMESTAMPADD <https://docs.snowflake.net/manuals/sql-reference/functions/timestampadd.html>`__,not supported,not supported,""
`TIMESTAMPDIFF <https://docs.snowflake.net/manuals/sql-reference/functions/timestampdiff.html>`__,not supported,not supported,""
`TIMESTAMP_FROM_PARTS <https://docs.snowflake.net/manuals/sql-reference/functions/timestamp_from_parts.html>`__,not supported,not supported,""
`TIME_FROM_PARTS <https://docs.snowflake.net/manuals/sql-reference/functions/time_from_parts.html>`__,not supported,not supported,""
`TIME_SLICE <https://docs.snowflake.net/manuals/sql-reference/functions/time_slice.html>`__,not supported,not supported,""
`TO_ARRAY <https://docs.snowflake.net/manuals/sql-reference/functions/to_array.html>`__,not supported,not supported,""
`TO_BINARY <https://docs.snowflake.net/manuals/sql-reference/functions/to_binary.html>`__,not supported,not supported,""
`TO_BOOLEAN <https://docs.snowflake.net/manuals/sql-reference/functions/to_boolean.html>`__,not supported,not supported,""
`TO_CHAR <https://docs.snowflake.net/manuals/sql-reference/functions/to_char.html>`__,`TO_CHAR <https://www.postgresql.org/docs/12/functions-formatting.html>`__,not supported,""
`TO_DATE <https://docs.snowflake.net/manuals/sql-reference/functions/to_date.html>`__,`TO_DATE <https://www.postgresql.org/docs/12/functions-formatting.html>`__,not supported,""
`TO_DECIMAL <https://docs.snowflake.net/manuals/sql-reference/functions/to_decimal.html>`__,not supported,not supported,""
`TO_DOUBLE <https://docs.snowflake.net/manuals/sql-reference/functions/to_double.html>`__,not supported,not supported,""
`TO_JSON <https://docs.snowflake.net/manuals/sql-reference/functions/to_json.html>`__,`TO_JSON <https://www.postgresql.org/docs/12/functions-json.html>`__,not supported,""
`TO_NUMBER <https://docs.snowflake.net/manuals/sql-reference/functions/to_decimal.html>`__,`TO_NUMBER <https://www.postgresql.org/docs/12/functions-formatting.html>`__,not supported,""
`TO_NUMERIC <https://docs.snowflake.net/manuals/sql-reference/functions/to_decimal.html>`__,not supported,not supported,""
`TO_OBJECT <https://docs.snowflake.net/manuals/sql-reference/functions/to_object.html>`__,not supported,not supported,""
`TO_TIME <https://docs.snowflake.net/manuals/sql-reference/functions/to_time.html>`__,not supported,not supported,""
`TO_TIMESTAMP / TO_TIMESTAMP_* <https://docs.snowflake.net/manuals/sql-reference/functions/to_timestamp.html>`__,not supported,not supported,""
`TO_VARCHAR <https://docs.snowflake.net/manuals/sql-reference/functions/to_char.html>`__,not supported,not supported,""
`TO_VARIANT <https://docs.snowflake.net/manuals/sql-reference/functions/to_variant.html>`__,not supported,not supported,""
`TO_XML <https://docs.snowflake.net/manuals/sql-reference/functions/to_xml.html>`__,not supported,not supported,""
`TRANSLATE <https://docs.snowflake.net/manuals/sql-reference/functions/translate.html>`__,`TRANSLATE <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`TRIM <https://docs.snowflake.net/manuals/sql-reference/functions/trim.html>`__,`TRIM <https://www.postgresql.org/docs/12/functions-binarystring.html>`__,not supported,""
`TRUNC <https://docs.snowflake.net/manuals/sql-reference/functions/trunc.html>`__,`TRUNC <https://www.postgresql.org/docs/12/functions-net.html>`__,not supported,""
`TRUNCATE <https://docs.snowflake.net/manuals/sql-reference/functions/trunc.html>`__,`TRUNCATE <https://www.postgresql.org/docs/current/sql-truncate.html>`__,not supported,""
`TRY_BASE64_DECODE_BINARY <https://docs.snowflake.net/manuals/sql-reference/functions/try_base64_decode_binary.html>`__,not supported,not supported,""
`TRY_BASE64_DECODE_STRING <https://docs.snowflake.net/manuals/sql-reference/functions/try_base64_decode_string.html>`__,not supported,not supported,""
`TRY_CAST <https://docs.snowflake.net/manuals/sql-reference/functions/try_cast.html>`__,not supported,not supported,""
`TRY_HEX_DECODE_BINARY <https://docs.snowflake.net/manuals/sql-reference/functions/try_hex_decode_binary.html>`__,not supported,not supported,""
`TRY_HEX_DECODE_STRING <https://docs.snowflake.net/manuals/sql-reference/functions/try_hex_decode_string.html>`__,not supported,not supported,""
`TRY_PARSE_JSON <https://docs.snowflake.net/manuals/sql-reference/functions/try_parse_json.html>`__,not supported,not supported,""
`TRY_TO_BINARY <https://docs.snowflake.net/manuals/sql-reference/functions/try_to_binary.html>`__,not supported,not supported,""
`TRY_TO_BOOLEAN <https://docs.snowflake.net/manuals/sql-reference/functions/try_to_boolean.html>`__,not supported,not supported,""
`TRY_TO_DATE <https://docs.snowflake.net/manuals/sql-reference/functions/try_to_date.html>`__,not supported,not supported,""
`TRY_TO_DECIMAL <https://docs.snowflake.net/manuals/sql-reference/functions/try_to_decimal.html>`__,not supported,not supported,""
`TRY_TO_DOUBLE <https://docs.snowflake.net/manuals/sql-reference/functions/try_to_double.html>`__,not supported,not supported,""
`TRY_TO_NUMBER <https://docs.snowflake.net/manuals/sql-reference/functions/try_to_decimal.html>`__,not supported,not supported,""
`TRY_TO_NUMERIC <https://docs.snowflake.net/manuals/sql-reference/functions/try_to_decimal.html>`__,not supported,not supported,""
`TRY_TO_TIME <https://docs.snowflake.net/manuals/sql-reference/functions/try_to_time.html>`__,not supported,not supported,""
`TRY_TO_TIMESTAMP / TRY_TO_TIMESTAMP_* <https://docs.snowflake.net/manuals/sql-reference/functions/try_to_timestamp.html>`__,not supported,not supported,""
`TYPEOF <https://docs.snowflake.net/manuals/sql-reference/functions/typeof.html>`__,not supported,not supported,""
`UNICODE <https://docs.snowflake.net/manuals/sql-reference/functions/unicode.html>`__,not supported,not supported,""
`UNIFORM <https://docs.snowflake.net/manuals/sql-reference/functions/uniform.html>`__,not supported,not supported,""
`UPPER <https://docs.snowflake.net/manuals/sql-reference/functions/upper.html>`__,`UPPER <https://www.postgresql.org/docs/12/functions-range.html>`__,not supported,""
`UUID_STRING <https://docs.snowflake.net/manuals/sql-reference/functions/uuid_string.html>`__,not supported,not supported,""
`VALIDATE <https://docs.snowflake.net/manuals/sql-reference/functions/validate.html>`__,not supported,not supported,""
`VALIDATE_PIPE_LOAD <https://docs.snowflake.net/manuals/sql-reference/functions/validate_pipe_load.html>`__,not supported,not supported,""
`VARIANCE <https://docs.snowflake.net/manuals/sql-reference/functions/variance.html>`__,`VARIANCE <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`VARIANCE_POP <https://docs.snowflake.net/manuals/sql-reference/functions/variance_pop.html>`__,not supported,not supported,""
`VARIANCE_SAMP <https://docs.snowflake.net/manuals/sql-reference/functions/variance.html>`__,not supported,not supported,""
`VAR_POP <https://docs.snowflake.net/manuals/sql-reference/functions/var_pop.html>`__,`VAR_POP <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
