"Snowflake Function","Postgresql Function","Replica Emulation","Notes"
`AS_NUMBER <https://docs.snowflake.net/manuals/sql-reference/functions/as_decimal-number.html>`__,not supported,not supported,""
`AS_OBJECT <https://docs.snowflake.net/manuals/sql-reference/functions/as_object.html>`__,not supported,not supported,""
`AS_REAL <https://docs.snowflake.net/manuals/sql-reference/functions/as_double-real.html>`__,not supported,not supported,""
`AS_TIME <https://docs.snowflake.net/manuals/sql-reference/functions/as_time.html>`__,not supported,not supported,""
`AS_TIMESTAMP_* <https://docs.snowflake.net/manuals/sql-reference/functions/as_timestamp.html>`__,not supported,not supported,""
`AS_VARCHAR <https://docs.snowflake.net/manuals/sql-reference/functions/as_char-varchar.html>`__,not supported,not supported,""
`ATAN <https://docs.snowflake.net/manuals/sql-reference/functions/atan.html>`__,`ATAN <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`ATAN2 <https://docs.snowflake.net/manuals/sql-reference/functions/atan2.html>`__,`ATAN2 <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`ATANH <https://docs.snowflake.net/manuals/sql-reference/functions/atanh.html>`__,`ATANH <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`AUTOMATIC CLUSTERING <https://docs.snowflake.net/manuals/sql-reference/../user-guide/tables-auto-reclustering.html>`__,not supported,not supported,""
`AUTOMATIC_CLUSTERING_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/automatic_clustering_history.html>`__,not supported,not supported,""
`AVG <https://docs.snowflake.net/manuals/sql-reference/functions/avg.html>`__,`AVG <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`BASE64_DECODE_BINARY <https://docs.snowflake.net/manuals/sql-reference/functions/base64_decode_binary.html>`__,not supported,not supported,""
`BASE64_DECODE_STRING <https://docs.snowflake.net/manuals/sql-reference/functions/base64_decode_string.html>`__,not supported,not supported,""
`BASE64_ENCODE <https://docs.snowflake.net/manuals/sql-reference/functions/base64_encode.html>`__,not supported,not supported,""
`BETWEEN <https://docs.snowflake.net/manuals/sql-reference/functions/between.html>`__,`BETWEEN <https://www.postgresql.org/docs/12/functions-comparison.html>`__,not supported,""
`BITAND <https://docs.snowflake.net/manuals/sql-reference/functions/bitand.html>`__,not supported,not supported,""
`BITAND_AGG <https://docs.snowflake.net/manuals/sql-reference/functions/bitand_agg.html>`__,not supported,not supported,""
`BITNOT <https://docs.snowflake.net/manuals/sql-reference/functions/bitnot.html>`__,not supported,not supported,""
`BITOR <https://docs.snowflake.net/manuals/sql-reference/functions/bitor.html>`__,not supported,not supported,""
`BITOR_AGG <https://docs.snowflake.net/manuals/sql-reference/functions/bitor_agg.html>`__,not supported,not supported,""
`BITSHIFTLEFT <https://docs.snowflake.net/manuals/sql-reference/functions/bitshiftleft.html>`__,not supported,not supported,""
`BITSHIFTRIGHT <https://docs.snowflake.net/manuals/sql-reference/functions/bitshiftright.html>`__,not supported,not supported,""
`BITXOR <https://docs.snowflake.net/manuals/sql-reference/functions/bitxor.html>`__,not supported,not supported,""
`BITXOR_AGG <https://docs.snowflake.net/manuals/sql-reference/functions/bitxor_agg.html>`__,not supported,not supported,""
`BIT_LENGTH <https://docs.snowflake.net/manuals/sql-reference/functions/bit_length.html>`__,`BIT_LENGTH <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`BOOLAND <https://docs.snowflake.net/manuals/sql-reference/functions/booland.html>`__,not supported,not supported,""
`BOOLAND_AGG <https://docs.snowflake.net/manuals/sql-reference/functions/booland_agg.html>`__,not supported,not supported,""
`BOOLNOT <https://docs.snowflake.net/manuals/sql-reference/functions/boolnot.html>`__,not supported,not supported,""
`BOOLOR <https://docs.snowflake.net/manuals/sql-reference/functions/boolor.html>`__,not supported,not supported,""
`BOOLOR_AGG <https://docs.snowflake.net/manuals/sql-reference/functions/boolor_agg.html>`__,not supported,not supported,""
`BOOLXOR <https://docs.snowflake.net/manuals/sql-reference/functions/boolxor.html>`__,not supported,not supported,""
`BOOLXOR_AGG <https://docs.snowflake.net/manuals/sql-reference/functions/boolxor_agg.html>`__,not supported,not supported,""
`CASE <https://docs.snowflake.net/manuals/sql-reference/functions/case.html>`__,not supported,not supported,""
`CAST <https://docs.snowflake.net/manuals/sql-reference/functions/cast.html>`__,not supported,not supported,""
`CBRT <https://docs.snowflake.net/manuals/sql-reference/functions/cbrt.html>`__,`CBRT <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`CEIL <https://docs.snowflake.net/manuals/sql-reference/functions/ceil.html>`__,`CEIL <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`CHAR <https://docs.snowflake.net/manuals/sql-reference/functions/chr.html>`__,not supported,not supported,""
`CHARINDEX <https://docs.snowflake.net/manuals/sql-reference/functions/charindex.html>`__,not supported,not supported,""
`CHECK_JSON <https://docs.snowflake.net/manuals/sql-reference/functions/check_json.html>`__,not supported,not supported,""
